app_id,positive_reviews,negative_reviews
1966720,329641,7582
578080,1337934,967003
230410,493411,75820
1086940,545583,18176
2195250,28051,22504
1172470,625043,168474
271590,1510259,234122
1562700,19650,504
1313140,66506,3590
1049590,42818,11628
2073850,102400,34552
1985820,1215,548
1973530,22945,5256
2252570,8028,967
730,6906636,986506
1147560,45001,3258
985810,13034,8830
227300,719456,18940
323190,92857,7860
1449850,52815,16771
1974050,7381,3239
1144200,140003,18891
413150,639198,11378
648800,281896,19235
1801110,3499,363
2338770,4144,14810
1245620,715153,57672
1091500,581990,133337
2344520,12684,8298
1384160,41773,4002
582010,367432,54995
1943950,53248,5536
381210,570656,139389
108600,258759,16242
236390,371138,229487
1989270,7717,195
1938090,306160,222543
692890,13640,641
502500,34349,4835
1085660,469640,113552
359550,1054106,177913
440,966016,63108
1203220,167243,77026
1331550,6962,488
960170,21952,2883
2349820,16221,13012
2157560,2405,517
977950,57982,3713
1426210,145318,7384
1868140,87955,2289
239140,384439,19579
252490,895508,132732
346110,564524,114546
1260320,29641,10955
1635450,3464,1557
897450,5201,1588
949230,27242,18832
397540,109080,19209
1566390,2241,458
1250410,43262,11856
1174180,487820,47265
787480,25700,634
1473350,3172,98
1326470,151134,25281
431960,732163,14495
2653790,4533,292
1446780,74168,18454
477160,186383,10404
250900,270792,6727
270880,141307,4742
1222670,111500,15831
2334730,11201,665
394360,247298,22885
1962663,9953,20336
815370,55777,8509
289070,257469,42099
739630,630393,25970
990080,234191,21086
1286320,2679,1181
552990,105514,30880
386940,38240,1664
1352080,5377,2155
1644940,1176,25
1881700,2999,2416
1477590,4721,564
1286680,12049,3996
322330,424476,18847
105600,1223207,29434
728880,52525,5414
2080690,13582,2718
781030,252,334
1252600,1124,496
1976440,2180,811
2668080,903,287
443110,2839,1367
1158310,94128,8334
1826980,985,458
2050650,123678,3165
294100,174990,3386
1361210,61200,30120
1190970,4343,1254
1551360,144393,19538
1030840,60046,8722
518790,134247,17850
812140,133527,16036
550,811210,20264
1817070,86149,3465
892970,416894,22903
374320,350099,21262
962130,61596,7780
242760,505050,23814
269210,27708,11941
1206560,29153,1577
1627720,26964,2121
551170,2320,503
1217060,86762,5902
1364780,30353,4599
1201270,3848,85
1227890,13574,1034
570,1781964,391892
1012880,12427,803
1435790,12834,804
368260,13561,3131
1145360,241184,3789
470310,7782,459
1888160,57111,5705
1665460,28991,40595
1902690,3844,314
774171,94615,11724
2183650,736,154
361420,105888,9231
2287220,1658,482
1182900,12763,1195
246900,18396,1352
1850510,1709,416
1084600,19732,2583
1766740,12630,1157
673750,6351,849
1432860,13514,1738
644930,38378,6695
686810,95283,20539
1687950,54879,1590
1604030,68932,9264
255710,234472,16868
305620,93440,9193
1065310,5426,1794
389730,74022,15211
444200,109637,27463
2203070,1222,723
1151340,69611,26247
1987080,34343,6536
292030,733852,29958
268910,149316,5530
2221490,10537,4247
262060,120669,11079
872410,8483,5418
1527950,21227,2033
457140,107592,3677
1282100,39306,7224
400750,11745,2618
1290000,41077,1084
286160,59917,3733
1677280,11662,10492
8870,126869,8314
1593500,119524,3952
2375550,7149,206
702320,959,491
218620,580888,68240
2357570,39710,201940
449960,9421,2391
546560,85382,1408
1089090,15674,1371
1676840,6583,2868
526870,148973,4572
1139980,7549,801
1794680,221142,3187
620980,68377,3077
914800,8960,434
1341200,801,815
489830,262844,25463
1663220,1582,35
427520,173803,6055
1301390,959,244
264710,251153,8342
1948280,21685,745
1158160,12825,1655
1557740,23916,1177
1621690,27831,2393
251570,265472,34724
223750,27072,4213
751780,33942,3678
1462040,19094,2257
880940,42708,5305
1096900,1226,235
1272160,5725,547
1568590,51556,7454
1129580,33978,3381
2238900,2437,81
1817190,29654,2035
1123770,6277,1138
2522520,293,125
8930,188686,7553
1919590,30252,18264
1637320,9182,864
960090,288331,7713
1488200,9860,503
322170,309395,21575
743890,2637,814
268500,77912,14521
2093910,829,131
274520,16514,921
1509960,21415,2163
594650,158176,34491
1462810,1448,578
1761620,513,151
1407200,62701,10855
858820,15681,4771
1142710,57637,37551
1997040,20245,3881
1659040,18578,3097
529340,26140,13823
1888930,34190,15253
1338770,8427,1550
1172620,283644,31699
1695840,2859,1316
550470,2190,881
1029690,13169,3010
1798010,972,156
1436990,3400,355
236850,107399,15935
1335200,14346,2847
