app_id,Tags
1966720,"['Action', 'Action-Adventure', 'Adventure', 'Aliens', 'Atmospheric', 'Dungeon Crawler', 'Early Access', 'Exploration', 'First-Person', 'Funny', 'Horror', 'Multiplayer', 'Perma Death', 'Procedural Generation', 'Psychological Horror', 'PvE', 'Sci-fi', 'Survival Horror', 'Time Management']"
578080,"['Action', 'Battle Royale', 'Competitive', 'Difficult', 'Early Access', 'FPS', 'First-Person', 'Multiplayer', 'PvP', 'Simulation', 'Stealth', 'Strategy', 'Survival', 'Tactical', 'Team-Based', 'Third Person', 'Third-Person FPS']"
230410,"['Action', 'Action RPG', 'Character Customization', 'FPS', 'Free to Play', 'Hack and Slash', 'Looter FPS', 'Lore-Rich', 'Multiplayer', 'Ninja', 'Parkour', 'PvE', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Third Person', 'Third-Person FPS']"
1086940,"['Adventure', 'CRPG', 'Character Customization', 'Choices Matter', 'Class-Based', 'Combat', 'Controller', 'Dark Fantasy', 'Dungeons & Dragons', 'Fantasy', 'Multiplayer', 'Multiplayer Campaign', 'RPG', 'Romance', 'Sexual Content', 'Singleplayer', 'Story Rich', 'Strategy', 'Turn-Based Combat']"
2195250,"['3D', 'Action', 'Competitive', 'Controller', 'Early Access', 'Family Friendly', 'First-Person', 'Local Multiplayer', 'Multiplayer', 'PvE', 'PvP', 'Realistic', 'Simulation', 'Singleplayer', 'Sports', 'eSports']"
1172470,"['Action', 'Battle Royale', 'Character Customization', 'Cyberpunk', 'FPS', 'First-Person', 'Free to Play', 'Funny', 'Hero FPS', 'Horror', 'Loot', 'Lore-Rich', 'Multiplayer', 'PvP', 'Sci-fi', 'Survival', 'Tactical', 'Team-Based']"
271590,"['Action', 'Adventure', 'Atmospheric', 'Automobile Sim', 'Crime', 'FPS', 'First-Person', 'Funny', 'Mature', 'Moddable', 'Multiplayer', 'Open World', 'Singleplayer', 'Sports', 'Third Person', 'Third-Person FPS']"
1562700,"['2D', '2D Platformer', 'Action', 'Action-Adventure', 'Adventure', 'Atmospheric', 'Cyberpunk', 'Difficult', 'Dystopian', 'Indie', 'Linear', 'Pixel Graphics', 'Platformer', 'Precision Platformer', 'Retro', 'Sci-fi', 'Side Scroller', 'Singleplayer', 'Story Rich']"
1313140,"['2D', 'Action', 'Action Rogue-like', 'Adventure', 'Base Building', 'Character Customization', 'Colony Sim', 'Colorful', 'Controller', 'Crafting', 'Cute', 'Dark Humor', 'Dungeon Crawler', 'Faith', 'Fantasy', 'Funny', 'Rogue-lite', 'Singleplayer', 'Strategy', 'Third Person']"
1049590,"['3D', 'Action', 'Anime', 'Character Customization', 'Combat', 'Crafting', 'Early Access', 'Experimental', 'Free to Play', 'Indie', 'MMORPG', 'MOBA', 'Multiplayer', 'Point & Click', 'PvP', 'Sexual Content', 'Strategy', 'Survival', 'Tactical', 'Top-Down']"
